"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,Obst = fruit,das Obst,das Obut,das Obyt,vas Obst,10,1
2,Apfel = the apple,der Apfel - fünf Äpfel,dtr Apfel - fünf Äpfel,der Apfel - fünf Äpfkl,der rpfel - fünf Äpfel,10,1
3,Birne = the pear,die Birne - vier Birnen,die Birne - vier Bnrnen,die Birge - vier Birnen,die Birne - viel Birnen,10,1
4,Banane = the banana,die Banane - drei Bananen,die Banaue - drei Bananen,dil Banane - drei Bananen,die Banane - drdi Bananen,10,1
5,Gemüse = vegetables,das Gemüse,das Gemüee,das Gemüso,das Gemüsg,10,1
6,Gurke = the cucumber,die Gurke - sechs Gurken,tie Gurke - sechs Gurken,die Gcrke - sechs Gurken,die Gurke - sechs Gurzen,10,1
7,Kartoffel = the potatoe,die Kartoffel - 15 Kartoffeln,die Kartoffel - 15 Kartqffeln,die Kartofyel - 15 Kartoffeln,die Kartoffel - 15 Kartgffeln,10,1
8,Salat = the salat,der Salat - 2 Salate,der Salat - 2 Salati,deo Salat - 2 Salate,dnr Salat - 2 Salate,10,1
9,Tomate = the tomato,die Tomate - fünf Tomaten,die Tomaty - fünf Tomaten,die Tomate - fünf zomaten,oie Tomate - fünf Tomaten,10,1
10,Olive = the olive,die Olive - ein Glas Oliven,die Olive - eij Glas Oliven,die Olvve - ein Glas Oliven,die Olive - ein qlas Oliven,10,1
11,Zwiebel = the onion,die Zwiebel - zwei Zwiebeln,die Zwiebel - zwei Zwiybeln,die Zwiebel - zwei Zwiebnln,die Zwiebel - zwmi Zwiebeln,10,1
12,Brötchen = the small bread,das Brötchen - 5 Brötchen,jas Brötchen - 5 Brötchen,das Brötchen - 5 Bröbchen,bas Brötchen - 5 Brötchen,10,1
13,Keks = the cookie,der Keks - die Kekse,der Keks - die Kekss,der Keks - die Kekwe,der leks - die Kekse,10,1
14,Kuchen = the cake,der Kuchen - die Kuchen,der Kuohen - die Kuchen,der Kucxen - die Kuchen,der Kuchen - die Kuyhen,10,1
15,Fleisch = the meat,das Fleisch,des Fleisch,das Fleisgh,das Fleicch,10,1
16,Hähnchen = the chicken,das Hähnchen - die Hähnchen,das Hähnohen - die Hähnchen,das Hqhnchen - die Hähnchen,dxs Hähnchen - die Hähnchen,10,1
17,Schinken = the ham,der Schinken,def Schinken,der Scvinken,der Schsnken,10,1
18,"Wurst = the sausage, cold cuts",die Wurst - zwei Würste,die Wurxt - zwei Würste,dme Wurst - zwei Würste,die Wurst - zwpi Würste,10,1
19,Butter = the butter,die Butter,die Brtter,dim Butter,die Bukter,10,1
20,Joghurt = the yoghurt,der Joghurt - zwei Joghurts,der joghurt - zwei Joghurts,der Joghunt - zwei Joghurts,der Joghurt - zwei Joghurtn,10,1
21,Käse = the cheese,der Käse,der Käsc,dei Käse,per Käse,10,1
22,Milch = the milk,die Milch,dip Milch,die Millh,die Mipch,10,1
23,Sahne = the cream,die Sahne,die Sahnu,xie Sahne,aie Sahne,10,1
