"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,Abend = the evening,der Abend - zwei Abende,dec Abend - zwei Abende,der Abbnd - zwei Abende,der Abend - zwei Abekde,10,1
2,Nachmittag = the afternoon,der Nachmittag - zwei Nachmittage,der Nachmietag - zwei Nachmittage,der Naehmittag - zwei Nachmittage,der Nachmintag - zwei Nachmittage,10,1
3,Moment = the moment,der Moment - zwei Momente,der joment - zwei Momente,der loment - zwei Momente,der Moment - zpei Momente,10,1
4,Stunde = the hour,die Stunde - zwei Stunden,die Stunde - zwei ztunden,die Stunde - zwei Standen,die Stunde - zwei Stundsn,10,1
5,Minute = the minute,die Minute - zwei Minuten,die Minute - zwei Minutqn,die Minute - zwei zinuten,die ainute - zwei Minuten,10,1
6,Sekunde = the second,die Sekunde - zwei Sekunden,die Sekunde - zwei Sekunlen,die Sekundr - zwei Sekunden,die Sekunde - zwei Sekunven,10,1
7,Tag = the day,der Tag - zwei Tage,der Taa - zwei Tage,der Tag - zwev Tage,qer Tag - zwei Tage,10,1
8,Woche = the week,die Woche - zwei Wochen,die Woche - zpei Wochen,die Woche - zwei tochen,die Woche - zwen Wochen,10,1
9,Wochenende = the weekend,das Wochenende - zwei Wochenenden,das Wochenende - zwei Wqchenenden,das Wochenende - zwei Wochenendej,das Wochenende - zwei Wochenender,10,1
10,Wochentag = the day of the week,der Wochentag - zwei Wochentage,der Wochentag - zwei Woceentage,der Wochentag - zwei Woctentage,der Wochentag - zhei Wochentage,10,1
11,Jahr = the year,das Jahr - zwei Jahre,das Jahr - zwec Jahre,dap Jahr - zwei Jahre,dss Jahr - zwei Jahre,10,1
12,Termin = the appointment,der Termin - zwei Termine,der Termin - zwei Teryine,der Termin - zwei Twrmine,der Termin - zwej Termine,10,1
13,Montag = the Monday,der Montag - zwei Montage,der Montag - zwei Mhntage,der Montag - dwei Montage,der Montag - zwyi Montage,10,1
14,Dienstag = the Tuesday,der Dienstag - zwei Dienstage,der jienstag - zwei Dienstage,der Dienstug - zwei Dienstage,der Dienstag - zwei Dienstagl,10,1
15,Mittwoch = the Wednesday,der Mittwoch - zwei Mittwoche,der Mettwoch - zwei Mittwoche,der Mittwoch - zwei Mmttwoche,der Mittwoch - zwei Mintwoche,10,1
16,Donnerstag = the Thursday,der Donnerstag - zwei Donnerstage,der Donnerstag - zwez Donnerstage,der Donnerstam - zwei Donnerstage,der Donnerstag - zwei Donnemstage,10,1
17,Freitag = the Friday,der Freitag - zwei Freitage,der Freitag - zwfi Freitage,der Frektag - zwei Freitage,der Freitag - qwei Freitage,10,1
18,Sonnabend = the Saturday,der Sonnabend - zwei Sonnabende,fer Sonnabend - zwei Sonnabende,der Snnnabend - zwei Sonnabende,der Sonnabend - zwey Sonnabende,10,1
19,Samstag = the Saturday,der Samstag - zwei Samstage,der Samstag - zwei Sapstage,der Samstag - zwei yamstage,der Samstag - zqei Samstage,10,1
20,Sonntag = the Sunday,der Sonntag - zwei Sonntage,der Sonntag - zwei Sonnoage,der Sonntag - zwei Sonntane,der Sonntag - zwei Slnntage,10,1
21,Datum = the calendar date,das Datum - zwei Daten,das Datum - zwsi Daten,das Datum - zlei Daten,das Datym - zwei Daten,10,1
22,Information = the information,die Information - zwei Informationen,die Informatwon - zwei Informationen,die Information - zwei Informatiunen,die Information - zwei Informauionen,10,1
23,"Familienname = the family name, surname",der Familienname - zwei Familiennamen,der Familienname - zwei Familieneamen,der Familienname - zwei Famidiennamen,der Familiennfme - zwei Familiennamen,10,1
24,Adresse = the address,die Adresse - zwei Adressen,die Adresse - zoei Adressen,die Adresse - zwei Adresses,die Adreste - zwei Adressen,10,1
25,Straße = the street,die Straße - zwei Straßen,die Straße - zwei Straßln,die Strabe - zwei Straßen,die Straße - zuei Straßen,10,1
26,"Postleitzahl = the postal code, zip code",die Postleitzahl - zwei Postleitzahlen,die Postleitzahl - pwei Postleitzahlen,die Phstleitzahl - zwei Postleitzahlen,die Postleitzahl - zwei nostleitzahlen,10,1
