"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,Hobby = the hobby,das Hobby - zwei Hobbys,das Hobby - awei Hobbys,das Hobby - zwei Hobbts,jas Hobby - zwei Hobbys,10,1
2,Buch = the book,das Buch - zwei Bücher,dac Buch - zwei Bücher,das duch - zwei Bücher,das Buch - zpei Bücher,10,1
3,Café = the café,das Café - zwei Cafés,dar Café - zwei Cafés,das Café - zwei fafés,das Café - fwei Cafés,10,1
4,Computer = the computer,der Computer - zwei Computer,der Computer - zqei Computer,dor Computer - zwei Computer,ver Computer - zwei Computer,10,1
5,Verabredung = the appointment,die Verabredung - zwei Verabredungen,die Verabredung - zwei Verhbredungen,die Verabredung - zwei Veoabredungen,die Verabredung - zwei Veraeredungen,10,1
6,Freund = the friend,der Freund  - zwei Freunde,der Freund  - ewei Freunde,der Freund  - zwei Freznde,der Freund  - zwei Freunda,10,1
7,Freundin = the (female) friend,die Freundin - zwei Freundinnen,die Freundin - zwei Fneundinnen,die Fryundin - zwei Freundinnen,die Freundin - zwei Freunditnen,10,1
8,Leute = the people,zwei Leute,nwei Leute,zwei Lezte,zwei Leuoe,10,1
9,"Fußball = the soccer, soccer ball",der Fußball - zwei Fußbälle,der Fußuall - zwei Fußbälle,der Fußball - zlei Fußbälle,der fußball - zwei Fußbälle,10,1
10,Tennis = tennis,das Tennis,das Tegnis,das uennis,dak Tennis,10,1
11,Kino = the cinema,das Kino - zwei Kinos,das Kino - zwei Ksnos,das Kino - zwei finos,dys Kino - zwei Kinos,10,1
12,Theater = the theater,das Theater - zwei Theater,das Theater - zwei Theaaer,dae Theater - zwei Theater,dus Theater - zwei Theater,10,1
13,Museum = the museum,das Museum - zwei Museen,nas Museum - zwei Museen,das cuseum - zwei Museen,das Museum - zfei Museen,10,1
14,Schwimmbad = the swimming pool,das Schwimmbad - zwei Schwimmbäder,das Schwimmbad - zwgi Schwimmbäder,das Schwimmbad - zwei Schwiwmbäder,das Schwimmbad - zwei Schwummbäder,10,1
15,Musik = the music,die Musik,die Muqik,dje Musik,die Mxsik,10,1
16,Foto = the photo,das Foto - zwei Fotos,das Fotx - zwei Fotos,das Foto - zxei Fotos,pas Foto - zwei Fotos,10,1
17,Beruf = the job,der Beruf - zwei Berufe,dur Beruf - zwei Berufe,der Beruc - zwei Berufe,der Beruf - cwei Berufe,10,1
18,"Arzt = the physician, medic",der Arzt - zwei Ärzte,der Arzw - zwei Ärzte,der Arzt - zwei Ärrte,dev Arzt - zwei Ärzte,10,1
19,"Ärztin = the (female) physician, medic",die Ärztin - zwei Ärztinnen,die Ärztin - xwei Ärztinnen,die Ärztin - zwei Ärztbnnen,dig Ärztin - zwei Ärztinnen,10,1
20,Krankenhaus = the hospital,das Krankenhaus - zwei Krankenhäuser,das Krankenhaus - zwei Kranvenhäuser,das grankenhaus - zwei Krankenhäuser,das Kranmenhaus - zwei Krankenhäuser,10,1
21,Friseur = the hairdresser,der Friseur - zwei Friseure,der Frifeur - zwei Friseure,der zriseur - zwei Friseure,der Friseur - zwej Friseure,10,1
22,Friseurin = the (female) hairdresser,die Friseurin - zwei Friseurinnen,die Friseurin - zwei Fjiseurinnen,tie Friseurin - zwei Friseurinnen,die Friseurin - zwei Frnseurinnen,10,1
23,"Handwerker = the craftsman, handyman",der Handwerker - zwei Handwerker,der Handwerker - zwei Handwekker,der Handwerkzr - zwei Handwerker,der Handwerker - owei Handwerker,10,1
24,Journalist = the journalist,der Journalist - zwei Journalisten,der Journalist - zwei Jourdalisten,der Journalist - zwei Joujnalisten,der Journalist - zwei Journylisten,10,1
25,Journalistin = the (female) journalist,die Journalistin - zwei Journalistinnen,die Journalistin - zkei Journalistinnen,die Journalistin - zeei Journalistinnen,die Joxrnalistin - zwei Journalistinnen,10,1
26,Kellner = the waiter,der Kellner - zwei Kellner,der Kellneo - zwei Kellner,der Kellner - zwli Kellner,der Kellqer - zwei Kellner,10,1
27,Kellnerin = the (female) waiter,die Kellnerin - zwei Kellnerinnen,die Kellnerit - zwei Kellnerinnen,die Kewlnerin - zwei Kellnerinnen,die Kellnerin - zwei Kellnekinnen,10,1
28,"Koch = the chef, cook",der Koch - zwei Köche,der Koch - zwei Köcqe,der voch - zwei Köche,der Koca - zwei Köche,10,1
29,"Köchin = the (female) chef, cook",die Köchin - zwei Köchinnen,die Köchin - zwer Köchinnen,die Köcyin - zwei Köchinnen,die Köchin - zwei Köchinwen,10,1
30,Krankenpfleger = the nurse,der Krankenpfleger - zwei Krankenpfleger,der Krankekpfleger - zwei Krankenpfleger,der Krankenpfleger - zwei Krankehpfleger,der Krankenpfleger - zwki Krankenpfleger,10,1
31,Krankenpflegerin = the (female) nurse,die Krankenpflegerin - zwei Krankenpflegerinnen,die Krapkenpflegerin - zwei Krankenpflegerinnen,die Krankenpflegerin - zwei Krankenpvlegerinnen,die Krankenpflegerin - zwei Krankanpflegerinnen,10,1
32,Restaurant = the restaurant,das Restaurant - zwei Restaurants,das Rostaurant - zwei Restaurants,das Restaurant - mwei Restaurants,das Restaxrant - zwei Restaurants,10,1
33,Kollege = the colleague,der Kollege - zwei Kollegen,der rollege - zwei Kollegen,der bollege - zwei Kollegen,dgr Kollege - zwei Kollegen,10,1
34,Kollegin = the (female) colleague,die Kollegin - zwei Kolleginnen,die Koliegin - zwei Kolleginnen,die Kollegin - zwei Kollbginnen,die Kollegin - zwem Kolleginnen,10,1
35,"Firma = the company, firm",die Firma - zwei Firmen,die Firma - zwey Firmen,gie Firma - zwei Firmen,die Firma - xwei Firmen,10,1
36,Lehrer = the teacher,der Lehrer - zwei Lehrer,der Lehrer - zwej Lehrer,der Lehrer - zwei Lphrer,der Lehrer - zwei Lehyer,10,1
37,Lehrerin = the (female) teacher,die Lehrerin - zwei Lehrerinnen,die Lehrerin - zwei Lehrerinnnn,die Lehreric - zwei Lehrerinnen,die Lehrerin - zwei Lehrexinnen,10,1
38,Schule = the school,die Schule - zwei Schulen,die Schule - zwmi Schulen,die Sshule - zwei Schulen,die Schule - zwei Scnulen,10,1
39,Kurs = the course,der Kurs - zwei Kurse,cer Kurs - zwei Kurse,der Kurs - zwej Kurse,der Kurs - zwei Kursa,10,1
40,Mechaniker = the mechanic,der Mechaniker - zwei Mechaniker,der Mechaniaer - zwei Mechaniker,der Mechaniker - zwei Meceaniker,ded Mechaniker - zwei Mechaniker,10,1
41,Mechanikerin = the (female) mechanic,die Mechanikerin - zwei Mechanikerinnen,die Mechanikerin - zwei Mechanpkerinnen,die Mechanikerin - zwei Mezhanikerinnen,die Mechanikerin - zwei Mechanikeriwnen,10,1
42,Polizist = the police officer,der Polizist - zwei Polizisten,der Polhzist - zwei Polizisten,der Polwzist - zwei Polizisten,der Polirist - zwei Polizisten,10,1
43,Polizistin = the (female) police officer,die Polizistin - zwei Polizistinnen,die nolizistin - zwei Polizistinnen,die Polizfstin - zwei Polizistinnen,die Polizistin - zwei Polilistinnen,10,1
44,Student = the student,der Student - zwei Studenten,der Student - zwei Studevten,der Student - zwei Studentee,der Student - zwki Studenten,10,1
45,Studentin = the (female) student,die Studentin - zwei Studentinnen,die Studentin - zwey Studentinnen,die Studentin - zwei Studentinnbn,die Studenrin - zwei Studentinnen,10,1
46,Universität = the university,die Universität - zwei Universitäten,die Uniiersität - zwei Universitäten,die Universixät - zwei Universitäten,die Universität - zwei Universitätcn,10,1
47,"Seminar = the seminar, course",das Seminar - zwei Seminare,das Semonar - zwei Seminare,das Seminar - zwti Seminare,das Seminar - zwei Semgnare,10,1
48,Taxifahrer = the taxi driver,der Taxifahrer - zwei Taxifahrer,der Taxifahrer - zwei Taxiwahrer,dyr Taxifahrer - zwei Taxifahrer,der Taxifahrer - zwer Taxifahrer,10,1
49,Taxifahrerin = the (female) taxi driver,die Taxifahrerin - zwei Taxifahrerinnen,die Taxifahrerin - twei Taxifahrerinnen,die Taxifahrerin - zwei Taxvfahrerinnen,die Taxtfahrerin - zwei Taxifahrerinnen,10,1
50,Auto = the car,das Auto - zwei Autos,das Auto - wwei Autos,cas Auto - zwei Autos,das Alto - zwei Autos,10,1
51,Verkäufer = the seller,der Verkäufer - zwei Verkäufer,der Verkäufer - zwet Verkäufer,der Verkäufer - gwei Verkäufer,der Verkäufer - zlei Verkäufer,10,1
52,Verkäuferin = the (female) seller,die Verkäuferin - zwei Verkäuferinnen,die Verkäsferin - zwei Verkäuferinnen,die Verkäuferin - xwei Verkäuferinnen,die Vmrkäuferin - zwei Verkäuferinnen,10,1
